time,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,node_49,node_50,node_51,node_52,node_53,node_54,node_55,node_56,node_57,node_58,node_59,node_60,node_61,node_62,node_63,node_64,node_65,node_66,node_67,node_68,node_69,node_70,node_71,node_72,node_73,node_74,node_75,node_76,node_77,node_78,node_79,node_80,node_81,node_82,node_83,node_84,node_85,node_86,node_87,node_88,node_89,node_90,node_91,node_92,node_93,node_94,node_95,node_96,node_97,node_98,node_99,node_100,node_101,node_102,node_103,node_104,node_105,node_106,node_107,node_108,node_109,node_110,node_111,node_112,node_113,node_114,node_115,node_116,node_117,node_118,node_119,node_120
100,86.6715,86.6785,86.6947,86.7211,86.7579,86.805,86.8626,86.9305,87.0089,87.0976,87.1968,86.4365,86.4434,86.4597,86.4861,86.5229,86.5701,86.6277,86.6957,86.7741,86.8629,86.9621,86.2536,86.2606,86.2769,86.3033,86.3402,86.3874,86.445,86.513,86.5915,86.6803,86.7796,86.123,86.13,86.1463,86.1727,86.2096,86.2568,86.3144,86.3825,86.461,86.5499,86.6492,86.0446,86.0516,86.0679,86.0944,86.1312,86.1784,86.2361,86.3042,86.3827,86.4716,86.571,86.0185,86.0255,86.0418,86.0682,86.1051,86.1523,86.21,86.2781,86.3566,86.4455,86.5449,86.0446,86.0516,86.0679,86.0944,86.1312,86.1784,86.2361,86.3042,86.3827,86.4716,86.571,86.123,86.13,86.1463,86.1727,86.2096,86.2568,86.3144,86.3825,86.461,86.5499,86.6492,86.2536,86.2606,86.2769,86.3033,86.3402,86.3874,86.445,86.513,86.5915,86.6803,86.7796,86.4365,86.4434,86.4597,86.4861,86.5229,86.5701,86.6277,86.6957,86.7741,86.8629,86.9621,86.6715,86.6785,86.6947,86.7211,86.7579,86.805,86.8626,86.9305,87.0089,87.0976,87.1968
110,92.642,92.6488,92.6648,92.6907,92.7268,92.773,92.8295,92.8961,92.973,93.06,93.1573,92.4115,92.4183,92.4342,92.4602,92.4963,92.5426,92.599,92.6657,92.7427,92.8298,92.9271,92.2321,92.239,92.2549,92.2809,92.317,92.3633,92.4198,92.4865,92.5635,92.6507,92.7481,92.104,92.1108,92.1268,92.1527,92.1889,92.2352,92.2917,92.3585,92.4355,92.5227,92.6201,92.0271,92.0339,92.0499,92.0759,92.112,92.1584,92.2149,92.2817,92.3587,92.4459,92.5434,92.0015,92.0083,92.0243,92.0502,92.0864,92.1327,92.1893,92.2561,92.3331,92.4203,92.5178,92.0271,92.0339,92.0499,92.0759,92.112,92.1584,92.2149,92.2817,92.3587,92.4459,92.5434,92.104,92.1108,92.1268,92.1527,92.1889,92.2352,92.2917,92.3585,92.4355,92.5227,92.6201,92.2321,92.239,92.2549,92.2809,92.317,92.3633,92.4198,92.4865,92.5635,92.6507,92.7481,92.4115,92.4183,92.4342,92.4602,92.4963,92.5426,92.599,92.6657,92.7427,92.8298,92.9271,92.642,92.6488,92.6648,92.6907,92.7268,92.773,92.8295,92.8961,92.973,93.06,93.1573
120,98.4988,98.5055,98.5211,98.5465,98.5819,98.6273,98.6826,98.748,98.8234,98.9088,99.0042,98.2726,98.2793,98.2949,98.3204,98.3558,98.4012,98.4566,98.522,98.5975,98.6829,98.7784,98.0967,98.1034,98.119,98.1445,98.1799,98.2253,98.2808,98.3462,98.4217,98.5072,98.6028,97.971,97.9777,97.9933,98.0188,98.0543,98.0997,98.1552,98.2207,98.2962,98.3817,98.4773,97.8956,97.9023,97.9179,97.9434,97.9789,98.0243,98.0798,98.1453,98.2208,98.3064,98.402,97.8704,97.8771,97.8928,97.9183,97.9537,97.9992,98.0547,98.1202,98.1957,98.2813,98.3769,97.8956,97.9023,97.9179,97.9434,97.9789,98.0243,98.0798,98.1453,98.2208,98.3064,98.402,97.971,97.9777,97.9933,98.0188,98.0543,98.0997,98.1552,98.2207,98.2962,98.3817,98.4773,98.0967,98.1034,98.119,98.1445,98.1799,98.2253,98.2808,98.3462,98.4217,98.5072,98.6028,98.2726,98.2793,98.2949,98.3204,98.3558,98.4012,98.4566,98.522,98.5975,98.6829,98.7784,98.4988,98.5055,98.5211,98.5465,98.5819,98.6273,98.6826,98.748,98.8234,98.9088,99.0042
130,104.244,104.25,104.266,104.291,104.325,104.37,104.424,104.488,104.562,104.646,104.74,104.022,104.029,104.044,104.069,104.104,104.148,104.203,104.267,104.341,104.425,104.518,103.849,103.856,103.871,103.896,103.931,103.976,104.03,104.094,104.168,104.252,104.346,103.726,103.733,103.748,103.773,103.808,103.852,103.907,103.971,104.045,104.129,104.223,103.652,103.659,103.674,103.699,103.734,103.778,103.833,103.897,103.971,104.055,104.149,103.628,103.634,103.649,103.674,103.709,103.754,103.808,103.873,103.947,104.031,104.124,103.652,103.659,103.674,103.699,103.734,103.778,103.833,103.897,103.971,104.055,104.149,103.726,103.733,103.748,103.773,103.808,103.852,103.907,103.971,104.045,104.129,104.223,103.849,103.856,103.871,103.896,103.931,103.976,104.03,104.094,104.168,104.252,104.346,104.022,104.029,104.044,104.069,104.104,104.148,104.203,104.267,104.341,104.425,104.518,104.244,104.25,104.266,104.291,104.325,104.37,104.424,104.488,104.562,104.646,104.74
140,109.88,109.886,109.901,109.926,109.96,110.003,110.056,110.119,110.192,110.274,110.366,109.662,109.668,109.683,109.708,109.742,109.786,109.839,109.902,109.975,110.057,110.149,109.493,109.499,109.514,109.539,109.573,109.616,109.67,109.733,109.805,109.888,109.98,109.372,109.378,109.393,109.418,109.452,109.496,109.549,109.612,109.685,109.767,109.859,109.299,109.306,109.321,109.345,109.379,109.423,109.476,109.539,109.612,109.694,109.786,109.275,109.281,109.296,109.321,109.355,109.399,109.452,109.515,109.588,109.67,109.762,109.299,109.306,109.321,109.345,109.379,109.423,109.476,109.539,109.612,109.694,109.786,109.372,109.378,109.393,109.418,109.452,109.496,109.549,109.612,109.685,109.767,109.859,109.493,109.499,109.514,109.539,109.573,109.616,109.67,109.733,109.805,109.888,109.98,109.662,109.668,109.683,109.708,109.742,109.786,109.839,109.902,109.975,110.057,110.149,109.88,109.886,109.901,109.926,109.96,110.003,110.056,110.119,110.192,110.274,110.366
150,115.408,115.414,115.429,115.453,115.486,115.529,115.581,115.643,115.714,115.795,115.885,115.194,115.201,115.215,115.239,115.273,115.316,115.368,115.43,115.501,115.582,115.672,115.028,115.035,115.049,115.073,115.107,115.15,115.202,115.264,115.335,115.416,115.506,114.91,114.916,114.931,114.955,114.988,115.031,115.084,115.145,115.217,115.297,115.388,114.838,114.845,114.86,114.884,114.917,114.96,115.012,115.074,115.146,115.226,115.317,114.815,114.821,114.836,114.86,114.893,114.936,114.989,115.05,115.122,115.203,115.293,114.838,114.845,114.86,114.884,114.917,114.96,115.012,115.074,115.146,115.226,115.317,114.91,114.916,114.931,114.955,114.988,115.031,115.084,115.145,115.217,115.297,115.388,115.028,115.035,115.049,115.073,115.107,115.15,115.202,115.264,115.335,115.416,115.506,115.194,115.201,115.215,115.239,115.273,115.316,115.368,115.43,115.501,115.582,115.672,115.408,115.414,115.429,115.453,115.486,115.529,115.581,115.643,115.714,115.795,115.885
160,120.831,120.837,120.851,120.875,120.908,120.95,121.001,121.062,121.131,121.21,121.299,120.621,120.628,120.642,120.666,120.698,120.74,120.792,120.852,120.922,121.001,121.09,120.458,120.465,120.479,120.503,120.536,120.578,120.629,120.69,120.759,120.839,120.927,120.342,120.348,120.363,120.386,120.419,120.461,120.513,120.573,120.643,120.722,120.811,120.272,120.278,120.293,120.317,120.349,120.391,120.443,120.503,120.573,120.653,120.741,120.249,120.255,120.27,120.293,120.326,120.368,120.42,120.48,120.55,120.629,120.718,120.272,120.278,120.293,120.317,120.349,120.391,120.443,120.503,120.573,120.653,120.741,120.342,120.348,120.363,120.386,120.419,120.461,120.513,120.573,120.643,120.722,120.811,120.458,120.465,120.479,120.503,120.536,120.578,120.629,120.69,120.759,120.839,120.927,120.621,120.628,120.642,120.666,120.698,120.74,120.792,120.852,120.922,121.001,121.09,120.831,120.837,120.851,120.875,120.908,120.95,121.001,121.062,121.131,121.21,121.299
170,126.15,126.156,126.171,126.194,126.226,126.267,126.317,126.377,126.445,126.523,126.609,125.945,125.951,125.965,125.988,126.021,126.062,126.112,126.172,126.24,126.318,126.404,125.785,125.791,125.805,125.829,125.861,125.902,125.952,126.012,126.08,126.158,126.245,125.671,125.677,125.691,125.714,125.747,125.788,125.838,125.898,125.966,126.044,126.131,125.603,125.609,125.623,125.646,125.678,125.719,125.77,125.829,125.898,125.976,126.063,125.58,125.586,125.6,125.623,125.655,125.697,125.747,125.807,125.875,125.953,126.04,125.603,125.609,125.623,125.646,125.678,125.719,125.77,125.829,125.898,125.976,126.063,125.671,125.677,125.691,125.714,125.747,125.788,125.838,125.898,125.966,126.044,126.131,125.785,125.791,125.805,125.829,125.861,125.902,125.952,126.012,126.08,126.158,126.245,125.945,125.951,125.965,125.988,126.021,126.062,126.112,126.172,126.24,126.318,126.404,126.15,126.156,126.171,126.194,126.226,126.267,126.317,126.377,126.445,126.523,126.609
180,131.369,131.375,131.389,131.411,131.443,131.483,131.532,131.591,131.658,131.734,131.819,131.167,131.173,131.187,131.21,131.241,131.282,131.331,131.389,131.457,131.533,131.618,131.01,131.016,131.03,131.053,131.085,131.125,131.174,131.233,131.3,131.376,131.461,130.898,130.904,130.918,130.941,130.973,131.013,131.062,131.121,131.188,131.264,131.35,130.831,130.837,130.851,130.874,130.905,130.946,130.995,131.054,131.121,131.197,131.282,130.809,130.815,130.829,130.851,130.883,130.924,130.973,131.031,131.099,131.175,131.26,130.831,130.837,130.851,130.874,130.905,130.946,130.995,131.054,131.121,131.197,131.282,130.898,130.904,130.918,130.941,130.973,131.013,131.062,131.121,131.188,131.264,131.35,131.01,131.016,131.03,131.053,131.085,131.125,131.174,131.233,131.3,131.376,131.461,131.167,131.173,131.187,131.21,131.241,131.282,131.331,131.389,131.457,131.533,131.618,131.369,131.375,131.389,131.411,131.443,131.483,131.532,131.591,131.658,131.734,131.819
190,136.487,136.493,136.507,136.529,136.56,136.6,136.648,136.705,136.771,136.846,136.929,136.29,136.296,136.309,136.332,136.362,136.402,136.451,136.508,136.574,136.648,136.732,136.136,136.142,136.156,136.178,136.209,136.248,136.297,136.354,136.42,136.495,136.578,136.026,136.032,136.046,136.068,136.099,136.139,136.187,136.244,136.31,136.385,136.469,135.96,135.966,135.98,136.002,136.033,136.073,136.121,136.178,136.245,136.319,136.403,135.938,135.944,135.958,135.98,136.011,136.051,136.099,136.157,136.223,136.297,136.381,135.96,135.966,135.98,136.002,136.033,136.073,136.121,136.178,136.245,136.319,136.403,136.026,136.032,136.046,136.068,136.099,136.139,136.187,136.244,136.31,136.385,136.469,136.136,136.142,136.156,136.178,136.209,136.248,136.297,136.354,136.42,136.495,136.578,136.29,136.296,136.309,136.332,136.362,136.402,136.451,136.508,136.574,136.648,136.732,136.487,136.493,136.507,136.529,136.56,136.6,136.648,136.705,136.771,136.846,136.929
